scenario,carrier,tech,year,value,unit,source
2030NEPC,wind,onshore,2030,85500,MW,NEP2019
2030NEPC,wind,offshore,2030,17000,MW,NEP2019
2030NEPC,hydro,ror,2030,4233,MW,eHighway
2030NEPC,biomass,st,2030,6000,MW,NEP2019
2030NEPC,solar,pv,2030,104500,MW,NEP2019
2030NEPC,gas,ocgt,2030,10000,MW,NEP2019
2030NEPC,gas,ccgt,2030,23400,MW,NEP2019
2030NEPC,coal,st,2030,8100,MW,NEP2019
2030NEPC,lignite,st,2030,9000,MW,NEP2019
2030NEPC,oil,ocgt,2030,900,MW,NEP2019
2030NEPC,mixed,st,2030,4100,MW,NEP2019
2030NEPC,cavern,acaes,2030,1000,MW,Own Assumption
2030NEPC,other,res,2030,1300,MW,NEP2019
2030NEPC,lithium,battery,2030,12500,MW,NEP2019
2030NEPC,hydrogen,storage,2030,3000,MW,NEP2019
2030NEPC,hydro,phs,2030,11600,MW,NEP2019
2030NEPC,electricity,load,2030,547000,Gwh,"NEP2019, 576TWh - Hpel"
2040GCA,wind,onshore,2040,81550,MW,TYNDP2018-2040GCA
2040GCA,wind,offshore,2040,33500,MW,TYNDP2018-2040GCA
2040GCA,hydro,ror,2040,4329,MW,TYNDP2018-2040GCA
2040GCA,biomass,st,2040,6000,MW,TYNDP2018-2040GCA
2040GCA,solar,pv,2040,141000,MW,TYNDP2018-2040GCA
2040GCA,gas,ocgt,2040,20103,MW,TYNDP2018-2040GCA
2040GCA,gas,ccgt,2040,10356,MW,TYNDP2018-2040GCA
2040GCA,coal,st,2040,8329,MW,TYNDP2018-2040GCA
2040GCA,lignite,st,2040,0,MW,TYNDP2018-2040GCA
2040GCA,oil,ocgt,2040,224,MW,TYNDP2018-2040GCA
2040GCA,mixed,st,2040,10321,MW,TYNDP2018-2040GCA
2040GCA,cavern,acaes,2040,2000,MW,Own Assumption
2040GCA,other,res,2040,1300,MW,NEP2019
2040GCA,lithium,battery,2040,12500,MW,TYNDP2018-2040GCA
2040GCA,hydrogen,storage,2040,5000,MW,Own Assumption
2040GCA,hydro,phs,2040,9624,MW,TYNDP2018-2040GCA
2040GCA,electricity,load,2040,575865,Gwh,TYNDP2018-2040GCA
2050ZNES,wind,onshore,2050,98326,MW,eHighway
2050ZNES,wind,offshore,2050,27200,MW,eHighway
2050ZNES,other,res,2050,1300,MW,NEP2019
2050ZNES,hydor,ror,2050,4233,MW,eHighway
2050ZNES,biomass,st,2050,27750,MW,eHighway
2050ZNES,solar,pv,2050,98599,MW,eHighway
2050ZNES,gas,ccgt,2050,8580,MW,eHighway
2050ZNES,gas,ocgt,2050,4420,MW,eHighway
2050ZNES,coal,st,2050,0,MW,eHighway
2050ZNES,lignite,st,2050,0,MW,eHighway
2050ZNES,oil,ocgt,2050,0,MW,eHighway
2050ZNES,mixed,st,2050,0,MW,eHighway
2050ZNES,lithium,battery,2050,15650,MW,ZNES
2050ZNES,hydrogen,storage,2050,10100.01,MW,ZNES
2050ZNES,cavern,acaes,2050,3430.99,MW,ZNES
2050ZNES,redox,battery,2050,930,MW,ZNES
2050ZNES,hydro,phs,2050,12799,MW,eHighway
2050ZNES,electricity,load,2050,665705,Gwh,eHighway
2050ANGUS,wind,onshore,2050,98326,MW,eHighway
2050ANGUS,wind,offshore,2050,27200,MW,eHighway
2050ANGUS,hydro,ror,2050,4233,MW,eHighway
2050ANGUS,biomass,st,2050,27750,MW,eHighway
2050ANGUS,other,res,2050,1200,MW,NEP2019
2050ANGUS,solar,pv,2050,141000,MW,TYNDP2018-2040GCA
2050ANGUS,gas,ccgt,2050,8580,MW,eHighway
2050ANGUS,gas,ocgt,2050,4420,MW,eHighway
2050ANGUS,coal,st,2050,0,MW,eHighway
2050ANGUS,lignite,st,2050,0,MW,eHighway
2050ANGUS,oil,ocgt,2050,0,MW,eHighway
2050ANGUS,mixed,st,2050,0,MW,eHighway
2050ANGUS,lithium,battery,2050,15650,MW,ZNES
2050ANGUS,hydrogen,storage,2050,10100.01,MW,ZNES
2050ANGUS,cavern,acaes,2050,3430.99,MW,ZNES
2050ANGUS,redox,battery,2050,930,MW,ZNES
2050ANGUS,hydro,phs,2050,12799,MW,eHighway
2050ANGUS,electricity,load,2050,665705,Gwh,eHighway
