scenario,technology,year,value,unit,source
ANGUS2030,onshore,2030,85500,MW,NEP2019
ANGUS2030,offshore,2030,17000,MW,NEP2019
ANGUS2030,biomass,2030,6000,MW,NEP2019
ANGUS2030,pv,2030,104500,MW,NEP2019
ANGUS2030,gas,2030,33400,MW,NEP2019
ANGUS2030,coal,2030,8100,MW,NEP2019
ANGUS2030,lignite,2030,9000,MW,NEP2019
ANGUS2030,ror,2030,5100,MW,NEP2019
ANGUS2030,reservoir,2030,500,MW,
ANGUS2030,oil,2030,900,MW,NEP2019
ANGUS2030,mixed,2030,4100,MW,NEP2019
ANGUS2030,caes,2030,1000,MW,
ANGUS2030,other-res,2030,1300,MW,NEP2019
ANGUS2030,battery,2030,12500,MW,NEP2019
ANGUS2030,phs,2030,11600,MW,NEP2019
ANGUS2030,electricity_demand,2030,550000,Gwh,NEP2019
ANGUS2030,heat_demand_hp,2030,87000,Gwh,NEP2019
ANGUS2040,onshore,2040,105250,MW,
ANGUS2040,offshore,2040,26000,MW,
ANGUS2040,biomass,2040,6631,MW,
ANGUS2040,pv,2040,127250,MW,
ANGUS2040,gas,2040,30000,MW,
ANGUS2040,coal,2040,4000,MW,
ANGUS2040,lignite,2040,5000,MW,
ANGUS2040,ror,2040,5100,MW,
ANGUS2040,reservoir,2040,500,MW,
ANGUS2040,oil,2040,450,MW,
ANGUS2040,mixed,2040,4100,MW,
ANGUS2040,caes,2040,1000,MW,
ANGUS2040,other-res,2040,1300,MW,
ANGUS2040,battery,2040,12500,MW,
ANGUS2040,phs,2040,11000,MW,
ANGUS2040,electricity_demand,2040,550001,Gwh,
ANGUS2040,heat_demand_hp,2040,100000,Gwh,
ANGUS2050,onshore,2050,125000,MW,
ANGUS2050,offshore,2050,35000,MW,
ANGUS2050,biomass,2050,6631,MW,
ANGUS2050,pv,2050,150000,MW,
ANGUS2050,gas,2050,13000,MW,
ANGUS2050,coal,2050,0,MW,
ANGUS2050,lignite,2050,0,MW,
ANGUS2050,ror,2050,5100,MW,
ANGUS2050,reservoir,2050,500,MW,
ANGUS2050,oil,2050,0,MW,
ANGUS2050,mixed,2050,2000,MW,
ANGUS2050,caes,2050,1000,MW,
ANGUS2050,other-res,2050,1300,MW,
ANGUS2050,battery,2050,12500,MW,
ANGUS2050,phs,2050,12800,MW,
ANGUS2050,electricity_demand,2050,550002,Gwh,
ANGUS2050,heat_demand_hp,2050,150000,Gwh,
