country,year,rsv,phs,ror,ror-share,phs-max-hours,rsv-max-hours,rsv-factor,source
AT,2015,2964.9,2971.1,5542.7,0.651499835441252,33,857,1,ENSTOE
BE,2015,0,1308,114.56,1,4,500,1,ENSTOE
CH,2015,4791.8,3940,190,0.03813882532418,136,906,1,ENSTOE
CZ,2015,650,1175,440,0.403669724770642,5,1111,1,ENSTOE
DE,2015,1518,8699,3988.62,0.724331804264685,6,592,1,ENSTOE
DK,2015,0,0,9,1,6,,1,ENSTOE
FR,2015,8214,4965,10314,0.556670984455959,15,1201,1,ENSTOE
LU,2015,11,0,25,0.694444444444444,4,2840,1,ENSTOE
NL,2015,0,0,38,1,6,,1,ENSTOE
NO,2015,26909.5,0,1351.8,0.047832194555806,314,3139,1,ENSTOE
PL,2015,156.17,1770.12,377.84,0.70755229302822,5,5477,1,ENSTOE
SE,2015,15956,0,0,0,793,3456,1,ENSTOE
AT,2030,4787.518,6055.333,4671.89977,0.493888723766558,33,857,1.61473169415495,TYNDP2018-2030ST
BE,2030,158,1150,117,0.425454545454546,4,500,1,TYNDP2018-2030ST
CH,2030,8987,4593,4139,0.315328355934786,136,906,1.87549563838224,TYNDP2018-2030ST
CZ,2030,50,1000,365,0.879518072289157,5,1111,0.076923076923077,TYNDP2018-2030ST
DE,2030,995.9,9791.6,4329,0.81297301357772,6,592,0.656060606060606,TYNDP2018-2030ST
DK,2030,0,0,6.6082,1,6,,0,TYNDP2018-2030ST
FR,2030,8197,5500,13797,0.627307447485678,15,1201,0.997930362795228,TYNDP2018-2030ST
LU,2030,284,1026,34,0.106918238993711,4,2840,25.8181818181818,TYNDP2018-2030ST
NL,2030,0,0,38,1,6,,0,TYNDP2018-2030ST
NO,2030,34702.192,1114.708,0,0,314,3139,1.28958888125012,TYNDP2018-2030ST
PL,2030,0,1488,1033,1,5,5477,0,TYNDP2018-2030ST
SE,2030,16184,0,0,0,793,3456,1.0142892955628,TYNDP2018-2030ST
AT,2040,4787.518,6055.333,4671.89977,0.493888723766558,33,857,1.61473169415495,TYNDP2018-2040GCA
BE,2040,158,1908,117,0.425454545454546,4,500,1,TYNDP2018-2040GCA
CH,2040,8987,6722,4139,0.315328355934786,136,906,1.87549563838224,TYNDP2018-2040GCA
CZ,2040,50,1145,365,0.879518072289157,5,1111,0.076923076923077,TYNDP2018-2040GCA
DE,2040,620,10244,4329,0.87472216609416,6,592,0.408432147562582,TYNDP2018-2040GCA
DK,2040,0,0,6.6082,1,6,,0,TYNDP2018-2040GCA
FR,2040,8000,5500,13600,0.62962962962963,15,1201,0.973946919892866,TYNDP2018-2040GCA
LU,2040,284,1026,34,0.106918238993711,4,2840,25.8181818181818,TYNDP2018-2040GCA
NL,2040,0,2500,38,1,6,,0,TYNDP2018-2040GCA
NO,2040,34702.192,1114.708,0,0,314,3139,1.28958888125012,TYNDP2018-2040GCA
PL,2040,0,2292,1033,1,5,5477,0,TYNDP2018-2040GCA
SE,2040,16184,0,0,0,793,3456,1.0142892955628,TYNDP2018-2040GCA
AT,2050,5675.99999999953,10732.999999999,7401.15585519766,0.565960667376787,33,857,1.91439846200531,EHighway 100% RES
BE,2050,0,2308,331.97217379815,1,4,500,0,EHighway 100% RES
CH,2050,8129.99999999843,5443,4122.7012471071,0.336472844963964,136,906,1.69664844108653,EHighway 100% RES
CZ,2050,819.000000000002,1787.00000000001,454.846393339774,0.357065338268341,5,1111,1.26,EHighway 100% RES
DE,2050,620,12799,4233,0.87224397280033,6,592,0.408432147562582,EHighway 100% RES
DK,2050,0,0,13.3101851851852,1,6,,0,EHighway 100% RES
FR,2050,18200.0000000001,13419.9999999997,10318.621928926,0.361820495907623,15,1201,2.21572924275628,EHighway 100% RES
LU,2050,0,1650.68350260774,149.203237769674,1,4,2840,0,EHighway 100% RES
NL,2050,0,0,104.4347097158,1,6,,0,EHighway 100% RES
NO,2050,42472.9999999925,17291.0000000014,28140.9720283139,0.398518469079084,314,3139,1.57836451810671,EHighway 100% RES
PL,2050,0,3790.00000000012,2078.79756316788,1,5,5477,0,EHighway 100% RES
SE,2050,21383.2530637519,0,10775.2278089383,0.335066443330937,793,3456,1.34013869790373,EHighway 100% RES
