year,parameter,carrier,tech,value,unit,source
2030,efficiency,biomass,ce,0.35,per unit,Own assumption
2030,efficiency,biomass,st,0.35,per unit,Own assumption
2030,efficiency,coal,st,0.4,per unit,TYNDP2016A
2030,efficiency,coal,ccgt,0.4,per unit,TYNDP2016A
2030,efficiency,gas,ccgt,0.5,per unit,TYNDP2016A
2030,efficiency,gas,ocgt,0.38,per unit,TYNDP2016A
2030,efficiency,gas,st,0.36,per unit,TYNDP2016A
2030,efficiency,gas,gt,0.4,per unit,Own assumption
2030,efficiency,hydro,phs,0.75,per unit; roundtrip,DIW
2030,efficiency,hydro,ror,0.9,per unit,DIW
2030,efficiency,hydro,rsv,0.9,per unit,DIW
2030,efficiency,lignite,st,0.4,per unit,TYNDP2016A
2030,efficiency,oil,ocgt,0.35,per unit,TYNDP2016A
2030,efficiency,oil,st,0.35,per unit,TYNDP2016A
2030,efficiency,uranium,st,0.33,per unit,TYNDP2016A
2030,efficiency,waste,chp,0.26,per unit,Own assumption
2030,efficiency,waste,industry,0.26,per unit,Own assumption
2030,efficiency,lithium,battery,0.85,per unit; roundtrip,Own assumption
2030,avf,biomass,ce,1,per unit,Own assumption
2030,avf,biomass,st,1,per unit,Own assumption
2030,avf,coal,st,1,per unit,Own assumption
2030,avf,coal,ccgt,1,per unit,Own assumption
2030,avf,gas,ccgt,1,per unit,Own assumption
2030,avf,gas,ocgt,1,per unit,Own assumption
2030,avf,gas,st,1,per unit,Own assumption
2030,avf,gas,gt,1,per unit,Own assumption
2030,avf,hydro,phs,1,per unit,Own assumption
2030,avf,hydro,ror,1,per unit,Own assumption
2030,avf,hydro,rsv,1,per unit,Own assumption
2030,avf,lignite,st,1,per unit,Own assumption
2030,avf,oil,ocgt,1,per unit,Own assumption
2030,avf,oil,st,1,per unit,Own assumption
2030,avf,uranium,st,1,per unit,Own assumption
2030,avf,waste,chp,1,per unit,Own assumption
2030,avf,waste,industry,1,per unit,Own assumption
2030,avf,lithium,battery,1,per unit,Own assumption
2030,vom,biomass,ce,3,Euro/Mwh,Own assumption
2030,vom,biomass,st,3,Euro/Mwh,Own assumption
2030,vom,coal,st,3.3,Euro/Mwh,TYNDP2016A
2030,vom,coal,ccgt,3.3,Euro/Mwh,TYNDP2016A
2030,vom,gas,ccgt,1.6,Euro/Mwh,TYNDP2016A
2030,vom,gas,ocgt,1.6,Euro/Mwh,TYNDP2016A
2030,vom,gas,st,1.6,Euro/Mwh,TYNDP2016A
2030,vom,gas,gt,1.6,Euro/Mwh,TYNDP2016A
2030,vom,hydro,phs,0,Euro/Mwh,DIW
2030,vom,hydro,ror,0,Euro/Mwh,DIW
2030,vom,hydro,rsv,0,Euro/Mwh,DIW
2030,vom,lignite,st,3.3,Euro/Mwh,TYNDP2016A
2030,vom,oil,ocgt,3.3,Euro/Mwh,TYNDP2016A
2030,vom,oil,st,3.3,Euro/Mwh,TYNDP2016A
2030,vom,uranium,st,9,Euro/Mwh,TYNDP2016A
2030,vom,waste,chp,5,Euro/Mwh,Own assumption
2030,vom,waste,industry,5,Euro/Mwh,Own assumption
2030,vom,lithium,battery,0,Euro/Mwh,Own assumption
2030,storage_capacity,lithium,battery,5,h,Own assumption
2030,storage_capacity,hydro,phs,6,h,Brown et al.
